breathe again,toni braxton,1994," If I never feel you in my arms again
If I never feel your tender kiss again
If I never hear ""I love you"" now and then Will I never make love to you once again?
Please understand, if love ends
Then I promise you, I promise you That, that I shall never breathe again
Breathe again That I shall never breathe again
And I can't stop thinkin' about
About the way things used to be
And I can't stop thinkin' about About the love that you make to me
And I can't get you out of my head
How in the world will I begin
To let you walk right out my life
And blow my heart away
And I can't stop carin' about About the apple of my eye
And I can't stop doin' without
Without the center of my life And I can't get you out of my head
And I know I can't pretend
That I won't die if you decide
You won't see me again
If I never feel you in my arms again
If I never feel your tender kiss again If I never hear ""I love you"" now and then
Will I never make love to you once again?
Please understand, if love ends
Then I promise you, I promise you That, that I shall never breathe again
Breathe again
That I shall never breathe again
And I can't stop thinkin' about About the way my life would be
No, I can't stop thinkin' about How could your love be leavin' me And I can't get you out of my mind
God knows how hard I tried
And if you walk right out my life God knows I'd surely die
And I can't stop doin' without
Without the rythm of my heart
No, I can't stop doin' without For I would surely fall apart
And I can't get you out of my mind
'Cause I know I can't deny
And I would die if you decide
You won't see me again
If I never feel you in my arms again
If I never feel your tender kiss again
If I never hear ""I love you"" now and then
Will I never make love to you once again?
Please understand if love ends
Then I promise you, I promise you
That, that I shall never breathe again
Breathe again
That I shall never breathe again
That I shall never breathe again
Breathe again
That I shall never breathe again
breathe again..."
all for love,bryan adams rod stewart and sting,1994," When it's love you give
I'll be a man of good faith.
then in love you live.
I'll make a stand. I won't break.
I'll be the rock you can build on,
be there when you're old,
to have and to hold.
When there's love inside
I swear I'll always be strong.
then there's a reason why.
I'll prove to you we belong.
I'll be the wal that protects you
from the wind and the rain,
from the hurt and pain. Let's make it all for one and all for love.
Let the one you hold be the one you want,
the one you need,
'cause when it's all for onee it's one for all.
When there's someone that should know
then just let your feelings show
and make it all for one and all for love. When it's love you make
I'll be the fire in your night.
then it's love you take.
I will defend, I will fight.
I'll be there when you need me.
When honor's at stake,
this vow I will make: that it's all for one and all for love.
Let the one be the one you want,
the one you need,
'cause when it's all for one it's one for all.
When there's someone that should know
then just let your feelings show
and make it all for one and all for love. Don't lay our love to rest
'cause we could stand up to you test.
We got everything and more than we had planned,
more than the rivers that run the land.
We've got it all in our hands. Now it's all for one and all for love.
It's all for love.
Let the one you hold be the one you want,
the one you need,
'cause when it's all for one it's one for all.
It's one for all.
When there's someone that should know
then just let your feelings show.
When there's someone that you want,
when there's someone that you need
let's make it all, all for one and all for love."
all that she wants,ace of base,1994," She leads a lonely life...
she leads a lonely life. When she woke up late
in the morning light
and the day had just begun... She opened up
her eyes and thought
oh, what a morning. It's not a day for work,
it's a day for catching tan
just laying on the beach
and having fun
she's going to get you. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants...
all that she wants. So if you are in sight
and the day is right
she's a hunter, you're the fox... The gentle voice
that talks to you
won't talk forever. It's a night for passion
but the morning
means goodbye... Beware of what is flashing
in her eyes
she's going to get you. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants
is another baby
she's gone tomorrow, boy...
all that she wants
is another baby, yeah. All that she wants...
all that she wants."
dont turn around,ace of base,1994," I will survive without you Don't tell me that you wanna leave If you wanna leave
I won't beg you to stay
And if you gotta go darling
Maybe it's better that way I'm gonna be strong
I'm gonna do fine
Don't worry about this heart of mine Just walk out that door
Yeah, see if i care
Go on and go now but Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know
I won't let you know I won't miss your arms around me
Holding me tight (Holding me tight)
And if you ever think about me
Just know that I'll be alright (I'll be alright) I'm gonna be strong
I'm gonna do fine
Don't worry about this heart of mine I know I'll survive
I'll make it through
And I'll even learn to live without you Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know I wish I could scream out loud
That I love you
I wish I could say to you
Don't go! As he walks away he feels the pain getting strong
People in your life they don't know what's going on
Too proud to turn around, he's gone Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go Baby, don't turn around
Don't turn around
Just walk away (Just walk away)
It's tearing me apart that you're leaving
I'm letting you go
Don't turn around
Don't turn around
Just walk away"
bump n grind,r kelly,1994," My mind's telling me no
But my body, my body's telling me yes Baby - I don't wanna hurt nobody
But there is something, that I must confess - to you
(I don't see nothing wrong) ooh...
(With a little bump, and grind) with a little bump, and grind
(I don't see nothing wrong) ba-baby - hey, I (I don't see nothing wrong)
I don't see nothing wrong
(With a little bump, and grind) with a little bump, and grind
(I don't see nothing wrong) hey, ooh...ooh
(Lookie here)
See I know, just what you want And I know, just what you need girl So... (so baby, bring your body to me) hey, hey, hey...bring your body here I'm not fooling around with you
Baby my love is true
With you - is where - I wanna be (with you, is where I wanna be)
Girl you need someone
someone like me yeah To satisfy, your every need (I don't see nothing wrong) I don't see - I don't see nothing wrong
(With a little bump, and grind) with a little bump, and grind
(I don't see nothing wrong) baby - baby, I don't see...
(I don't see nothing wrong) I don't see... (With a little bump, and grind) nothing wrong, with a little
(I don't see nothing wrong) bump, and grind - baby, hey You say, he's not treating you right Lady, spend the night
I'll... (I'll love you, like you need to be loved) girl won't you try, some of me No need to look no more
Because I've opened up my doors
You'll never (you'll never, want another love)
You'll never find another me
You see you need someone, someone like me - yeah
To make love to you baby, constantly
(I don't see nothing wrong) I don't see - hey, nothing wrong
(With a little bump, and grind) with a little bump and
(I don't see nothing wrong) grind - ooh, ooh...
(I don't see nothing wrong) I don't see - nothing wrong"
again,janet jackson,1994," I heard from a friend today
And she said you were in town
Suddenly the memories came back to me
In my mind How can I be strong I've asked myself
Time and time I've said
That I'll never fall in love with you again A wounded heart you gave
My soul you took away
Good intentions you had many
I know you did I come from a place that hurts
And God knows how I've cried
And I never want to return
never fall again Making love to you
Oh it felt so good and
Oh so right How can I be strong I've asked myself
Time and time I've said
That I'll never fall in love with you again So here we are alone again'
Didn't think it'd come to this
And to know it all began
With just a little kiss I've come too close to happiness
To have it swept away
Don't think I can take the pain
No never fall again Kinda late in the game and my heart is in
Your hands
Don't you stand there and then
Tell me you love
Me then leave again
Cause I'm falling in love with
You again Hold me
Hold me
Don't ever let me go
Say it just one time
Say you love me
God knows I do
Love you
Again"
ill remember,madonna,1994," Mmmm, mmmm
Say goodbye to not knowing when
The truth in my whole life began
Say goodbye to not knowing how to cry
You taught me that And I'll remember the strength that you gave me
Now that I'm standing on my own
I'll remember the way that you saved me
I'll remember Inside I was a child
That could not mend a broken wing
Outside I looked for a way
To teach my heart to sing And I'll remember the love that you gave me
Now that I'm standing on my own
I'll remember the way that you changed me
I'll remember I learned to let go of the illusion that we can possess
I learned to let go, I travel in stillness
And I'll remember happiness
I'll remember (I'll remember)
Mmmmm (I'll remember) mmmmm And I'll remember the love that you gave me
Now that I'm standing on my own
I'll remember the way that you changed me
I'll remember
(I'll remember) No, I've never been afraid to cry
Now I finally have a reason why
I'll remember (I'll remember) No, I've never been afraid to cry
Now I finally have a reason why
I'll remember (I'll remember) No, I've never been afraid to cry
And I finally have a reason why
I'll remember (I'll remember) No, I've never been afraid to cry
Now I finally have a reason why
I'll remember"
whatta man,saltnpepa and en vogue,1994," Yeah, yeah, oh yeah
Hey hey
All right, oh yeah What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man I wanna take a minute or two and give much respect due
To the man that's made a difference in my world
And although most men are ho's he flows on the down low
'Cuz I never heard about him with another girl
But I don't sweat it because it's just pathetic
To let it, get me involved in that he said, she said crowd I know that ain't nobody perfect
I give props to those who deserve it
And believe me y'all, he's worth it
So here's to the future 'cuz we got through the past
I finally found somebody that can make me laugh
You so crazy, I think I wanna have your baby What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man My man is smooth like Barry and his voice got bass
A body like Arnold with a Denzel face
He's smart like a doctor with a real good rep
And when he comes home he's relaxed with Pep
He always got a gift for me every time I see him
A lot of snot-nosed ex-flames couldn't be him He never ran a corny line once to me yet
So I give him stuff that he'll never forget
He keeps me on Cloud Nine just like the Temps
He's not a fake wannabe tryin' to be a pimp
He dresses like a dapper don but even in jeans
He's a God-sent original, the man of my dreams Yes, my man says he loves me, never says he loves me not
Tryin' to rush me good and touch me in the right spot
See other guys that I've had, they tried to play all that mac shit
But every time they tried I said, ""That's not it""
But not this man, he's got the right potion
Baby, rub it down and make it smooth like lotion Yeah, the ritual, highway to Heaven
From seven to seven he's got me open like seven eleven
And yes, it's me that he's always choosin'
With him I'm never losin' and he knows that my name is not Susan
He always has heavy conversation for the mind
Which means a lot to me 'cuz good men are hard to find What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man My man gives real lovin' that's why I call him Killer
He's not a wham bam thank you ma'am, he's a thriller
He takes his time and does everything right
Knocks me out with one shot for the rest of the night
He's a real smooth brother, never in a rush
And he gives me goose pimples with every single touch Spends quality time with his kids when he can
Secure in his manhood 'cuz he's a real man
A lover and a fighter and he'll knock a knucker out
Don't take him for a sucker 'cuz that's not what he's about
Every time I need him, he always got my back
Never disrespectful 'cuz his Mama taught him that What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man
What a man, what a man, what a man
What a mighty good man What a mighty, mighty good man
Do me like this sugar, yeah
Now break it down, break it down, one time What a man, what a man
What a man, what a man
What a man, what a man
What a man, what a man
What a man, what a man
What a man, what a man, what a man
What a mighty good man"
without you  never forget you,mariah carey,1994," No I can't forget this evening
Or your face as you were leaving
But I guess that's just the way
The story goes
You always smile but in your eyes
Your sorrow shows
Yes it shows
No I can't forget tomorrow
When I think of all my sorrow
When I had you there
But then I let you go
And now it's only fair
That I should let you know
What you should know
I can't live
If living is without you
I can't give
I can't give anymore
I can't live
If living is without you
I can't give
I can't give anymore
Well I can't forget this evening
Or your face as you were leaving
But I guess that's just the way
The story goes
You always smile but in your eyes
Your sorrow shows
Yes it shows
I can't live
If living is without you
I can't give
I can't give anymore
I can't live
If living is without you
I can't give
I can't give anymore
Ohh uah... No, No, No...
I can't live
If living is without you
I can't give
I can't give anymore
I can't live"
you mean the world to me,toni braxton,1994," If you could give one good reason
Why I should believe you
Believe in all the thing that you tell
I would sure like to believe you
My heart wants to receive you
Just make me know that you are sincere
You know I'd love for you to lead me
And follow through completely
So won't you give me all I ask for
And if you give your very best
To bring me happiness
I'll show you just how much I adore you Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby
Baby, cause you mean so much
To me Now it's gonna take some workin'
But I believe you're worth it
Long as your intention are good
So good
There is just one way to show it
And boy I hope you know it
That no one could love you like I could
Lord knows I want to trust you
And always how I'd love you
I'm not sure if love is enough
And I will not be forsaken
And I hope there's no mistakin'
So tell me that you'll always be true Cause you mean the world to me
You are my everything
I swear the only thing that matters
Matters to me
Oh baby, baby, baby, baby
Baby, cause you mean so much
To me There's a feeling in my heart
That I know I can't escape
So please don't let me fall
Don't let it be too late
There's a time when words are good
And they just get in the way
So show me how you feel
Baby I'm for real
Oh baby, baby, baby, baby, baby Cause you mean the world to me
You are every thing
I swear the only thing that matters
Matter to me
Oh baby, baby, baby, baby
Baby, cause you mean so much
To me"
