id do anything for love but i wont do that,meat loaf,1993," And I would do anything for love,
I'd run right into hell and back
I would do anything for love,
I'll never lie to you and that's a fact But I'll never forget the way you feel right now,
Oh no, no way.
And I would do anything for love,
Oh I would do anything for love,
Iwould do anything for love,
But I won't do that
No I won't do that Anything for love
Oh I would do anything for love,
I would do anything for love
But I won't do that
No I won't do that And some days, it don't come easy
And some days it don't come hard
Some days it don't come at all
And these are the days that never end
And some nights you're breathing fire
And some nights you're carved in ice
Some nights you're like nothing I've ever seen before
Or will again And maybe I'm crazy
Oh it's crazy and it's true
I know you can save me
No one else can save me now but you As long as the planets are turning
As long as the stars are burning
As long as your dreams are coming true
You better believe it That I would do anything for love
I'll be there till the final act
And I would do anything for love!
And I'll take the vow and seal a pact
But I'll never forgive myself if we don't go all the way
Tonight
And I would do anything for love
Oh I would do anything for love
Oh I would do anything for love
But I won't do that
No I wont do that I would do anything for love
Anything you've been dreaming of
But I just won't do that
I would do anything for love
Anything you've been dreaming of
But I just won't do that
I would do anything for love
Anything you've been dreaming of
But I just won't do that And somedays I pray for silence
And somedays I pray for soul
Somedays I just pray to the God of Sex and Drums and Rock 'N Roll. And some nights I lose the feeling
And some nights I lose control
Some nights I just lose it all when I watch you dance and the thunder rolls And maybe I'm lonely
That's all I'm qualified to be
There's just one and only
The one and only promise I can keep As long as the wheels are turning
As long as the fires burning
As long as your prayers are coming true
You better believe it That I would do anything for love
And you know it's true and that's a fact
And I would do anything for love
And there'll never be no turning back But I'll never do it better then I do it with you
So long
So long
And I would do anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No, no, no I won't do... I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that I would do anything for love
Anything you've been dreaming of
But I just wont do that But I'll never stop dreaming of you every night of my life
No way
And I would do anything for love
Oh I would do anything for love
Oh I would do anything for love
But I won't do that
No I won't do that Will you raise me up?
Will you help me down?
Will you get me right out of this Godforsaken town?
Will you make it all a little less cold? I can do that!
Oh I can do that! Will you hold me sacred?
Will you hold me tight?
Can you colorize my life I'm so sick of black and white?
Can you make it all a little less old? I can do that
Oh oh now i can do that Will you make me some magic with your own two hands?
Can you build an emerald city with these grains of sand?
Can you give me something I can take home? Now I can do that
Oh now I can do that Will you cater to every fantasy I got?
Will you hose me down with holy water, if I get too hot! (HOT)?
Will you take me places I've never known? Now I can do that
Oh, oh now I can do that! After a while to forget everything
It was a brief interlude and a midsummer night's fling
And you'll see that its time to move on I won't do that
I won't do that I know the territory
I've been around
It'll all turn to dust
And we'll all fall down
And sooner or later you'll be screwing around I won't do that!
No, I won't do that! Anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No I won't do that"
slam,onyx,1993," SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys! Well here's another one (WHAT!)
In the gutter one (WHAT!)
Ghetto runnin em
Troblesome extra double double I come to beat em
The beat em and mistreat em
So what if that I'm cheating.
Every one wanna sound grimey.
Imma show you how come on (ALL AND TOGETHER NOW!)
Yeaah, ohh yeaah!
YEAH!
That's how we gotta be
so stop trying to beat loud as me cause you can't do that
Think about playin russian roulette with an atuomatic rifle
My ass against the line blast bullets first
On Line
Toughest step and a rep and a run packin a weapon its wild
Peace to the brothers on Rycher's Isle
Pumping up a trebble and didn't like he's criminally in buck my eye,
Oh my god I'm so high
Just they say a Rodney say you like a criminum, what does it take
to make you get
Making million children SLAM! Slam! SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys! I'm the mean nasty grease smashing ever slow gashing (Ooohh)
Slickly swift blast of the ghastly stashin fashion
Then I provide I provide the you was cheat.
Beside the getto Vibe
Mak me feel like Jekly and Hyde OF CORSE
I come across with no fear
For sure!
Un-adult un-rated un-conformed
Digusted, busted you wanna touch it.
To hot! You forgot, you're not ready
You're head could get ruptered.
Hit between the eye
I planned the plan alive
I'm the plonic sonic
UH RULE WITH THE BADS GUYS
The villian (JUU), crooks (UUU), hot midas in confide us.
See the big black picture if you look inside of
My mind, it's graphic, expresstic graphic
So kill the copy cat because it's al mastered
Directin' it
When y'all least expected it
And thought it was safe ONYX hit you in the face so, SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys! (STICKY FINGAZ)
I'm a b-boy
Standin in my b-boy stance
Hurry up and give me the microphone before I bust in my pants
The mad author of anguish
My language, Polluted
Onyx is heavyweight (Sonsee: And still undisputed!)
He took the words right out my mouth and walked a mile in my shoes
I've paid so many dues, I feel used and abused
And I'm... so confused
umm, excuse me, for example
I'm the inspiration, for a WHOLE generation
And unless you got 10 Sticky Fingers
Its straight immitation
A figment, of your imagination
But but but but wait it gets worse!
I'm not watered down so I'm dyin of thirst
Comin thru wit a scam, a fullproof plan
B-boys make some noise, and just, JUST SLAM! SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM! duuh duuh duuh, duuh duuh duuh Make noise b-boys!
SLAM! duuh duuh duuh, duuh duuh duuh Let the boys be boys!
SLAM!"
im every woman,whitney houston,1993," Whatever you want, whatever you need
Anything you want done baby, I'll do it naturally
'Cause I'm every woman
It's all in me, it's all in me I'm every woman
It's all in me
Anything you want done baby
I do it naturally
I'm every woman
It's all in me
I can read your thoughts right now
Every one from A to Z I can cast a spell of secrets you can tell
Mix a special brew, put fire inside of you
Anytime you feel danger or fear
Then instantly I will appear, 'cause I'm every woman
It's all in me
Anything you want done baby
I do it naturally Oh, I can sense your needs like rain onto the seeds
I can make a rhyme of confusion in your mind
And when it comes down to some good old fashioned love I got it, I got it, I got it, got it, baby, baby I'm every woman
It's all in me
Anything you want done baby
I do it naturally I'm every woman
It's all in me
I can read your thoughts right now
Every one from A to Z I ain't braggin', 'cause I'm the one
Just ask me, ooh, and it shall be done
And don't bother to compare
I've got it, I've got it, got it got it, got it
I'm every woman
I'm every woman
I'm every woman
I'm every woman
I'm every woman
I'm every woman"
baby im yours,shai,1993," Understand girl that my heart is in your hands.
And I'm cautious. Of falling in love again.
So please don't hurt me, I'm scared.
Don't desert me, I'm afraid.
Of being a fool. Again.
So Baby I'm yours, if you want me. And if you want my sweet love.
And Baby I'm yours, if you need me. La la la.
Loving you forever, if you want me. Give me your love.
Baby I'm yours, if you need me. Ohh...
Realize girl that my faith is kind of torn.
Watch your step girl, Because my heart is weak and worn.
So won't you please be careful, I'm fragile.
I can't imagine the damage,
I have to handle. If you hurt me one more time,
Please be mine.
So Baby I'm yours, if you want me. And if you want my sweet love.
And Baby I'm yours, if you need me. La la la.
Loving you forever, if you want me. Give me your love.
Baby I'm yours, if you need me. Ohh...
Baby, I've been through a whole lot of relationships,
Whole lot of broken promises,
but now I'm ready for a real one sweet heart.
Yes I am.
You don't have to worry baby.
Don't you every go away.
Baby I'm, Baby Baby I'm yours.
Baby I'm, Baby Baby I'm yours.
Baby I'm, Baby Baby I'm yours.
Baby I'm, Baby Baby I'm yours.
Baby I'm, Baby Baby I'm yours.
So Baby I'm yours, if you want me. And if you want my sweet love.
And Baby I'm yours, if you need me. La la la.
Loving you forever, if you want me. Give me your love.
Baby I'm yours, if you need me. Ohh..."
come undone,duran duran,1993," My immaculate dream made of breath and skin
I've been waiting for you
Signed, with a home tattoo
""Happy birthday to you"" was created for you Can't ever keep from falling apart at the seams
Can I believe you're taking my heart to pieces Ahh, it'll take a little time
Might take a little crime to come undone
Now we'll try to stay blind to the hope and fear outside
Hey child, stay wilder than the wind and blow me in to cry Who do you need?
Who do you love?
When you come undone Who do you need?
Who do you love?
When you come undone Words, playing me deja vu
Like a radio tune I swear I've heard before
Chill, is it something real?
Or the magic I'm feeding off your fingers Can't ever keep from falling apart at the seams
Can I believe you're taking my heart to pieces Lost, in a snow filled sky
We'll make it alright to come undone
Now we'll try to stay blind to the hope and fear outside
Hey child, stay wilder than the wind and blow me in to cry Who do you need?
Who do you love?
When you come undone Who do you need?
Who do you love?
When you come undone Who do you need?
Who do you love?
When you come undone Can't ever keep from falling apart
Who do you need?
Who do you love?
When you come undone
Can't ever keep from falling apart
Who do you need?
Who do you love?
When you come undone
Can't ever keep from falling apart
Who do you need?
Who do you love?
When you come undone"
i dont wanna fight,tina turner,1993," There's a pale moon in the sky
The kind you make your wishes on
Like the light in your eyes
The one I built my dreams upon It's not there any longer
Something happened somewhere
And we both know what
But me, I'm getting stronger
We must stop pretending
I can't live this life I don't care who's wrong or right
I don't really wanna fight no more
Too much talking
Let's sleep on it tonight
I don't really wanna fight no more
This is time for letting go I hear a whisper in the air
It simply doesn't bother me
Can't you see that I don't care
Or are you looking right through me It seems to me lately
You look at me the wrong way
And I start to cry
Could it be that maybe
This crazy situation is the reason why I don't care who's wrong or right
I don't really wanna fight no more
Too much talking
Let's sleep on it tonight
I don't really wanna fight no more
Tired of all these games Oh, baby don't you know
I don't wanna hurt no more
This time I'm walking, babe
Don't care now who's to blame
I don't really wanna fight no more
This is time for letting go Hanging on to the past
It only stands in our way
We have to grow for our love to last
But we just grew apart
Don't wanna hurt no more But, baby don't you know, know
I don't wanna hurt no more
Too much talking
Don't care now who's to blame
I don't really wanna fight no more
Tired of all these games I don't care who's wrong or right
I don't really wanna fight no more
This time I'm walking, babe
So let's sleep on it tonight
I don't really wanna fight no more
This is time for letting go No, I don't wanna hurt no more
Too much, hey baby
Don't care now who's to blame
I don't really wanna fight no more
This is time for letting go Let it go
Let it go
Let it go
Let it go"
whoot there it is,95 south,1993," Party people
yeah tag team music comin' straight atacha
that's me dc the brain supreme
and my man steve roll'n
we're kicking the flow we're kickin'
and it goes a little somethin' like this
tag team back again check it top
wreck it - let's begin
party people let me hear some noise
dc's in the house jump jump and rejoice
there's a party over here
a party over there
wave your hands in the air
shake the deriere
these three words mean you're gettin' busy
whoomp there it is
whoomp there it is
Upside down and inside out
i'm about to show all you folks
what's it's all about
now it's time to get on the mic
and make this party hype
i'm talking it back to the old school
'cause i'm an old fool who's so cool
if you want to get down
i'm gonna show you the way whoomp there it is
let me hear you say
whoomp there it is
Whoomp chak a laka chack a laka chak a laka chak a
point blank gin and juice i drank
gettin' bent and bent and as i puff on a dankt
rock the mic
uh
oh i see rave skin
rip skit find a honeydip to dip it in
slam dunk it stick it flip it and ride
that is double o d d y oh my
ooh that it come on come on
whoomp there it is i'm done
Ühey
some say i'm crazy
'cause i'm pushin' up daises
the underground sound that you have found
amazing outstanding demanding
commanding you people dancin'
that's a breath taker
i produce aka the undertaker
you want to come down to the underground
old school - here's a shovel can dig it fol
can you dig it
we can dig it
can y'll dig it
we can dig it
Why double omp as i flow
to the fly from the school of old
hardcore kick the folk lore wreck
three to the two and one mic-check
mad skill flow ill on the mesh of steel
that's the grill of the microphone i just killed
party people it's your party tag team is through
whoomp there it is i thought you knew
whoomp there it is
yeha tag team comin' straight atcha
that's me dc the brain supreme
and my man steve roll'n
bring it back ya'll bring it back ya'll bring it back
here we go
Whoomp there it is"
hip hop hooray,naughty by nature,1993," Give it up for Naughty By Nature Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho You drew a picture of my morning
But you couldn't make my day (hey!)
I'm rocking and you're yawning
But you never look my way (hey!)
I'm licking down you darling
In every single way (hey!)
Your funny flow is foreign and a green card's on the way This ain't got shit to do with shampoo
But watch your Head 'n Shoulders
Brother older bold enough to fold ya
Yo, I told ya
A raid afraid of what I made
and played em plus a funky fit
So save ya flips and tricks
Put that music in the monkey bit Triggas from the Grill town Ill town
Some ask how it feels now
The deal is that we're real so we're still 'round
Don't lamp with a freestyle phantom
Ain't tryin' to be handsome
Shrinkin' what ya thinkin' cause I'm vampin' I live and die for Hip Hop
This is Hip Hop of today
I give props to Hip Hop
So Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho
Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho You heard a lot about a brother gainin' mo' ground
Being lowdown
I do the showdown with any little ho' 'round (NO!)
I wanna know who you're believing
Through your funny reasons
Even when I'm sleepin' you think I'm cheating
You said I know you're mister O.P.P man
You P.P man
Won't only see me man
You should've know that I ain't hitting the step
That I was with it a bit
Not to consider the rep (Heck!)
I did your partner cause she's hot as a baker
Cause I'm Naughty By Nature
Not cause I hate ya
You put your heart in a part of a part that spreads apart
And forgot that I forgave when you had a spark You try to act like something really big is missing
Even though my name's graffiti written on your kitten
I love black women always and disrespect ain't the way
Let's start a family today
Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho
Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho Hip Hop, Hip, Hip Hop, Hip, Hip Hop Hooray
There's many hungry Hip Hoppers
One reason Hip Hop's the top today
Swerve what you heard
Cause I ain't baling no hay
Ain't chopping no crop
But still growing every day Here's a thunder sound from the wonders found
From the underground town down the hill
Feel how Ill town
Drown smiles to frowns
Snatchin' crowns from clowns
Beat downs are found
Don't know me! Don't come around! Tippy tippy pause
Tippy tippy pause
Some start creepin' up, I eat 'em up
Their styles are older than Lou Rawls
Peace to this one and that one and them
That's the way I shout out and I didn't miss one friend
Fools get foolish neither them or Parker Lewis knew us
You could have crews with shoes and can't step to us
Some kitty's purr
Now call me sir too
Lookin' for her crew
Any trick that diss gets a curfew
I put on projects for boots
Step through troops and leave proof
My problem solver name is Mook
I'm hittin' woodies in a hoody
Peace to Jesette, Jobete, Jo-Jo, Jenae and every hood Gee
That's right, my fight is ill
Peace goes to L.O.N.S & Quest, Nice & Smooth and Cypress Hill
I live and die for Hip Hop
This is Hip Hop of today
I give props to Hip Hop
So Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho
Hip Hop Hooray, ho-hey-ho-hey-ho-hey-ho
Smooth it out now"
another sad love song,toni braxton,1993," Baby, since you've been gone
I've been hangin' around here lately
With my mind messed up
Jumped in my car tried to clear my mind
Didn't help me, I guess I'm all messed up, now baby As soon as I jumped into my ride
Those memories start to play
A song comes on, on the radio
And there you are baby once again It's just another sad love song
Rackin' my brain like crazy
Guess I'm all torn up
Be it fast or slow it doesn't let go
Or shake me and it's all because of you Since you've been gone
I keep think about you, baby
Gets me all choked up
This heart of mine keeps
Dreamin' of you and it's crazy
You'd think I'd had enough, yeah As soon as I get you out my head
I'm in your car again, ooh darlin'
Just one request from the radio
I'm back in love sugar once again It's just another sad love song
Rackin' my brain like crazy
Guess I'm all torn up
Be it fast or slow, it doesn't let go
Or shake me, ooh baby Here comes the strings then somebody sings
Only takes a beat and then it starts killin' me, darlin'
Only takes one note, I tell you from that radio
It's just another lonely love song It's just another sad love song
Rackin' my brain like crazy
Guess I'm all torn up
Be it fast or slow, it doesn't let go
Or shake me and it's all because of you
It's a sad, it's a sad
It's a sad, sad love song
And it's all because of you
It's a sad, it's a sad
It's a sad, sad love song"
will you be there,michael jackson,1993," Hold me
like the river Jordan,
and I will then say to thee
you are my friend Carry me
like you are my brother,
love me like a mother
Will you be there? Weary
Tell me will you hold me?
When wrong, will you scold me? When lost will you find me?
But they told me
a man should be faithful,
and walk when not able,
and fight till the end, but I'm only human! Everyone taking control of me,
seems that the world's
got a role for me
I'm so confused
will you show to me, you be there for me,
and care enough to bear me!
(Hold me)
(Lay your head lowly) (Softly then boldly) (Yeah!)
(Carry me there) (I'm only human!)
(Feed me) (Hold me!)
(Love me and feed me) (Kiss me and free me)
(I will feel blessed) (I'm only human!)
(Carry)
(Carry me boldly) (Lift me up slowly)
(Carry me there) (I'm only human!)
(Save me)
(Heal me and bathe me) (Softly you say to me)
(I will be there)
(Lift me)
(Lift me up slowly)
(Carry me boldly)
(Show me you care)
(Hold me)
(Lay your head lowly)
(Softly then boldly)
(Carry me there)
(Need me)
(Love me and feed me)
(Kiss me and free me)
(I will feel blessed)"
