for the love of him,bobbi martin,1970,
mississippi queen,mountain,1970," Mississippi Queen, If you know what I mean
Mississippi Queen, She taught me everything
Way down around Vicksburg, Around Louisiana way
Lived a cajun lady, we called her Mississippi Queen
You know she was a dancer
She moved better on wine While the rest of them dudes were'a gettin' their kicks
Buddy, beg your pardon, I was getting mine! Mississippi Queen, If you know what I mean
Mississippi Queen, She taught me everything
This lady she asked me, If I would be her man
You know that I told her, I'd do what I can
To keep her looking pretty
Buy her dresses that shine While the rest of them dudes were making their bread
Buddy, beg your pardon, I was losing mine! You know she was a dancer
She moved better on wine
While the rest of them dudes were'a gettin' their kicks
Brotha, beg your pardon, now I'm getting mine!
Ohhhh, Mississippi Queen"
i want to take you higher,ike  tina turner,1970,
the letter,joe cocker,1970," The Letter
Give me a ticket for an aeroplane. Ain't got time to take a fast train
Lonely days are gone, I'm a going home, my Baby just wrote me a letter
I don't care how much money I gotta spend. I got to get back to my baby again
Lonely days are gone, I'm a going home, my Baby just wrote me a letter
Well she wrote me a letter, said she couldn't live without me no more
Listen Mister can't you see I got to get back to my baby once more
Anyway Yeah
Give me a ticket for an aeroplane. Ain't got time to take a fast train
Lonely days are gone, I'm a going home, my Baby just wrote me a letter
I don't care how much money I gotta spend. I got to get back to my baby again
Lonely days are gone, I'm a going home, my Baby just wrote me a letter
Well she wrote me a letter, said she couldn't live without me no more
Listen Mister can't you see I got to get back to my baby once more
Anyway Yeah Give me a ticket for an aeroplane. Ain't got time to take a fast train
Lonely days are gone, I'm a going home, my Baby just wrote me a letter
My Baby just wrote me a letter
I don't care how much money I spend
Got to get back to my baby again
Lonely days are gone (Lonely days are gone) I'm a going home
My baby just wrote me a letter
My baby wrote me a letter
My baby wrote me a letter
Lonely days are gone
I'm a going home
My baby just wrote me a letter
Give me a ticket for an aeroplane
Ain't got the time to take a fast train
Lonely days are gone, I'm a going home
My baby just wrote me a letter
(My baby just wrote me a letter)
I don't care how much money I got to spend
Got to get back to my baby again
Lonely days are gone, I'm a going home
My baby just wrote me a letter
My baby just wrote me a letter"
the bells,the originals,1970," I'll never hear the bells if you leave me
I'll never hear the bells
I'll never hear the bells if you leave me
I'll never hear the bells
Do you hear what I hear
When your lips are kissing mine
Do you hear the bells honey
Do you hear them ringing
When I'm kissing you baby
What do I have to do
To make you feel the tingling too Can't you hear the bells honey
Say it's just as good to you as it is to me
I hear the bells
I hear the bells
Oh ringing in my ears
Oh saying do you love me do you love me
Do you love me, do you love me
Like I love you oh baby True love and joy and faith
And all my strength I'll give to you darling
My love is yours exclusively to enjoy
Any way you want to
One thing I want you to remember
If you ever leave
I believe I'll go insane
Darling I'll never hear the bells again
No, no, no, no, no, no
Oh baby don't leave me, don't leave me baby"
yellow river,christie,1970," So long, boy you can take my place
I've got my papers, I've got my pay
So pack my bags and I'll be on my way
To Yellow River Put my gun down, the war is won
Fill my glass high, the time has come
I'm going back to the place that I love
Yellow River Yellow River
Yellow River is in my mind and in my eyes
Yellow River
Yellow River is in my blood, it's the place I love Got no time for explanations
Got no time to lose
Tomorrow night you'll find me sleeping underneath the moon
At Yellow River Cannon fire lingers in my mind
I'm so glad that I'm still alive
And I've been gone for such a long time
From Yellow River I remember the nights were cool
I can still see the water pool
And I remember the girl that I knew
From Yellow River"
vehicle,the ides of march,1970," Hey well I'm the friendly stranger in the black sedan won't you hop inside my car
I got pictures got candy I am a lovable man I'd like to take you to the nearest star
I'm your vehicle baby
I'll take you anywhere you wanna go I'm your vehicle woman
By now I'm sure you know that I love ya (love ya)
I need ya (need ya)
I want you got to have you child
Great God in heaven you know I love you
Well if you want to be a movie star I got the ticket to Hollywood
If you want to stay just like you are you know I think you really should
I'm your vehicle baby I'll take you anywhere you wanna go
I'm your vehicle woman
By now I'm sure you know that I love ya (love ya)
I need ya (need ya) I want you got to have you child
Great God in heaven you know I love... you
Oh... you know I do...
Well I'm the friendly stranger in the black sedan won't you hop inside my car
I got pictures candy I am a lovable man I'd like to take you to the nearest star
I'm your vehicle babe
I'll take you anywhere you wanna go
I'm your vehicle woman
By now I'm sure you know that I love ya (love ya) I need ya (need ya)
I want you I got to have ya
Great God in heaven you know I love... you
And I'm your vehicle babe Alright
You know I love ya (love ya)
I need ya (need ya)
I want you got to have you child
Great God in heaven you know I love you"
up the ladder to the roof,the supremes,1970," Come with me
And we shall run across the sky
And illuminate the night
Oh-oh-oh, I will try and guide you
To better times and brighter days Don't be afraid
Come up the ladder to the roof
Where we can see heaven much better
Come up the ladder to the roof
Where we can be (Where we can be)
(Where we can be) Closer to heaven
(To heaven, stay) Stay with me
And we shall let expression sing
Can't you hear 'em ring?
Oh-oh-oh, memories of yesterday
Yesterday's broken dreams
Don't you know, they'll all fade away If you'll come
Up the ladder to the roof
Where we can see heaven much better
Come up the ladder to the roof
Where we can be (Where we can be)
(Where we can be) Oh, closer to heaven We'll laugh and I'll tell you the story of love
How it is, and the happiness in it, baby
We'll combine our thoughts
And together we'll travel the roads
To the fountain of loveliness
I will never, ever, ever leave you
Leave you alone to wonder
As we go on, our love, it will grow (It will grow)
Much stronger and stronger Don't you wanna go
Up the ladder to the roof
Where we can see heaven much better
Up the ladder to the roof
Where we can be closer to heaven Ah, up the (Up the)
Ooh-ooh, up the (Up the)
Oh, come on and walk (Walk)
Come on and talk (Talk)
Come on and sing about love and understanding
Ooh, ooh, ooh (Up the ladder to the roof)
Ooh, ooh, ooh (See heaven)
Ooh, ooh, ooh (Go up the ladder to the roof)"
travelin band,creedence clearwater revival,1970," Seven-Thirty-Seven comin' out of the sky.
Oh, won't you take me down to Memphis
On a midnight ride?
I wanna move. Playin' in a travelin' band, yeah!
Well, I'm flyin' 'cross the land,
Tryin' to get a hand,
Playin' in a travelin' band. Take me to the hotel,
Baggage gone, oh, well.
Come on, come on,
Won't you get me to my room?
I wanna move. Playin' in a travelin' band, yeah!
Well, I'm flyin' 'cross the land,
Tryin' to get a hand,
Playin' in a travelin' band. Listen to the radio,
Talkin' 'bout the last show.
Someone got excited,
Had to call the state militia.
I wanna move. Playin' in a travelin' band, yeah!
Well, I'm flyin' 'cross the land,
Tryin' to get a hand,
Playin' in a travelin' band.
Oh, wow! Here we come again on a Saturday night.
Oh, with your fussin' and your fightin',
Won't you get me to the right?
I wanna move. Playin' in a travelin' band, yeah!
Well, I'm flyin' 'cross the land,
Tryin' to get a hand,
Playin' in a travelin' band.
Oh, wow! Oh, I'm playin' in a travelin' band,
Playin' in a travelin' band.
Won't you get me; take my hand?
Well, I'm playin' in a travelin' band.
Well, I'm flying 'cross the land,
Tryin' to get a hand,
Playin' in a travelin' band.
Oh, wow! Hey!"
psychedelic shack,the temptations,1970," Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at
People let me tell you about a place I know
To get in it don't take much dough
Where you can really do your thing, oh yeah
It's got a neon sign outside that says
Come in and take a look at your mind
You'd be surprised what you might find, yeah
Strobe lights flashin' way till after sundown
People gather there from all parts of town
Oh yeah, what do I call it
You know it's just across the track
People I'm talking about the psychedelic shack Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at, oh yeah
You can have your fortune told
You can learn the meaning of soul
There ain't no such thing as time
Incense in the air
'In"" signs painted everywhere
I guarantee you this place will blow your mind
Music so high, you can't get over it
So low you can't get under it
Right around the corner just across the track
People I'm talking about the psychedelic shack Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at
Millionaires, kings and queens go there to do their things
You might see anybody there, yeah
Bear skin rugs, tails and beads
Don't really matter what you wear
You can take off your shoes, sit on the floor
Join in and be what you wanna be
Don't you know that it's right
Around the corner just across the track
People I'm talking about the psychedelic shack Psychedelic shack, that's where it's at
Psychedelic shack, that's where it's at
They got a cat there shouting the blues
Talking about payin some dues
People walking around reciting poetry
Screamin guitars and a thousand colored lights
People I'm telling you this place is really out of sight
You can have your fortune told
You can learn the meaning of soul
I guarantee this place will blow your mind
Don't you know it's right around the corner
Just across the track
People I'm talking about the psychedelic shack"
